"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
3,"AGGH","medium_airport","Honiara International Airport",-9.428,160.055,28,"OC","SB","SB-CT","Honiara","yes","AGGH","HIR","","","http://en.wikipedia.org/wiki/Honiara_International_Airport","Henderson Field"
4,"AGGM","medium_airport","Munda Airport",-8.32797,157.263,10,"OC","SB","SB-WE","","yes","AGGM","MUA","","","http://en.wikipedia.org/wiki/Munda_Airport",""
8,"ANYN","medium_airport","Nauru International Airport",-0.547458,166.919,22,"OC","NR","NR-14","Yaren District","yes","ANYN","INU","","","http://en.wikipedia.org/wiki/Nauru_International_Airport","ANAU"
53,"AYBK","medium_airport","Buka Airport",-5.42232,154.673,11,"OC","PG","PG-NSB","Buka Island","yes","AYBK","BUA","","","http://en.wikipedia.org/wiki/Buka_Airport",""
54,"AYCH","medium_airport","Chimbu Airport",-6.02429,144.971,4974,"OC","PG","PG-CPK","Kundiawa","yes","AYCH","CMU","","","http://en.wikipedia.org/wiki/Chimbu_Airport",""
55,"AYDU","medium_airport","Daru Airport",-9.08676,143.208,20,"OC","PG","PG-WPD","Daru","yes","AYDU","DAU","","","http://en.wikipedia.org/wiki/Daru_Airport",""
56,"AYGA","medium_airport","Goroka Airport",-6.08169,145.392,5282,"OC","PG","PG-EHG","Goronka","yes","AYGA","GKA","","","http://en.wikipedia.org/wiki/Goroka_Airport",""
57,"AYGN","medium_airport","Gurney Airport",-10.3115,150.334,88,"OC","PG","PG-MBA","Gurney","yes","AYGN","GUR","","","http://en.wikipedia.org/wiki/Gurney_Airport",""
58,"AYGR","medium_airport","Girua Airport",-8.80454,148.309,311,"OC","PG","PG-NPP","Popondetta","yes","AYGR","PNP","","","http://en.wikipedia.org/wiki/Girua_Airport",""
59,"AYHK","medium_airport","Kimbe Airport",-5.46217,150.405,66,"OC","PG","PG-WBK","Hoskins","yes","AYHK","HKN","","","http://en.wikipedia.org/wiki/Hoskins_Airport",""
60,"AYKM","medium_airport","Kerema Airport",-7.96361,145.771,10,"OC","PG","PG-GPK","Kerema","yes","AYKM","KMA","","","http://en.wikipedia.org/wiki/Kerema_Airport",""
61,"AYKV","medium_airport","Kavieng Airport",-2.5794,150.808,7,"OC","PG","PG-NIK","Kavieng","yes","AYKV","KVG","","","http://en.wikipedia.org/wiki/Kavieng_Airport",""
62,"AYMD","medium_airport","Madang Airport",-5.20708,145.789,20,"OC","PG","PG-MPM","Madang","yes","AYMD","MAG","","","http://en.wikipedia.org/wiki/Madang_Airport",""
63,"AYMH","medium_airport","Mount Hagen Kagamuga Airport",-5.82679,144.296,5388,"OC","PG","PG-WHM","Mount Hagen","yes","AYMH","HGU","","","http://en.wikipedia.org/wiki/Mount_Hagen_Airport",""
64,"AYMN","medium_airport","Mendi Airport",-6.14774,143.657,5680,"OC","PG","PG-SHM","Mendi","yes","AYMN","MDU","","","http://en.wikipedia.org/wiki/Mendi_Airport",""
65,"AYMO","medium_airport","Momote Airport",-2.06189,147.424,12,"OC","PG","PG-MRL","Manus Island","yes","AYMO","MAS","","","http://en.wikipedia.org/wiki/Momote_Airport",""
66,"AYNZ","medium_airport","Nadzab Airport",-6.5698,146.726,239,"OC","PG","PG-MPL","Lae","yes","AYNZ","LAE","","","http://en.wikipedia.org/wiki/Lae_Nadzab_Airport","MFO"
67,"AYPY","large_airport","Port Moresby Jacksons International Airport",-9.44338,147.22,146,"OC","PG","PG-NCD","Port Moresby","yes","AYPY","POM","","","http://en.wikipedia.org/wiki/Jacksons_International_Airport",""
68,"AYTK","medium_airport","Tokua Airport",-4.34046,152.38,32,"OC","PG","PG-EBR","Tokua","yes","AYTK","RAB","","","http://en.wikipedia.org/wiki/Rabaul_Airport",""
69,"AYVN","medium_airport","Vanimo Airport",-2.6926,141.303,10,"OC","PG","PG-SAN","Vanimo","yes","AYVN","VAI","","","http://en.wikipedia.org/wiki/Vanimo_Airport",""
70,"AYWD","medium_airport","Wapenamanda Airport",-5.6433,143.895,5889,"OC","PG","PG-EPW","","yes","AYWD","WBM","","","http://en.wikipedia.org/wiki/Wapenamanda_Airport",""
71,"AYWK","medium_airport","Wewak International Airport",-3.58383,143.669,19,"OC","PG","PG-ESW","Wewak","yes","AYWK","WWK","","","http://en.wikipedia.org/wiki/Wewak_International_Airport",""
113,"BGBW","medium_airport","Narsarsuaq Airport",61.1605,-45.426,112,"NA","GL","GL-U-A","Narsarsuaq","yes","BGBW","UAK","","","http://en.wikipedia.org/wiki/Narsarsuaq_Airport",""
114,"BGGH","medium_airport","Godthaab / Nuuk Airport",64.1909,-51.6781,283,"NA","GL","GL-U-A","Nuuk","yes","BGGH","GOH","","","http://en.wikipedia.org/wiki/Nuuk_Airport","Nuussuaq"
115,"BGSF","medium_airport","Kangerlussuaq Airport",67.0122,-50.7116,165,"NA","GL","GL-U-A","Kangerlussuaq","yes","BGSF","SFJ","","","http://en.wikipedia.org/wiki/Kangerlussuaq_Airport","Sondre Stromfjord"
117,"BIAR","medium_airport","Akureyri Airport",65.66,-18.0727,6,"EU","IS","IS-6","Akureyri","yes","BIAR","AEY","","","http://en.wikipedia.org/wiki/Akureyri_Airport",""
119,"BIEG","medium_airport","Egilsstaðir Airport",65.2833,-14.4014,76,"EU","IS","IS-7","Egilsstaðir","yes","BIEG","EGS","","","http://en.wikipedia.org/wiki/Egilssta%C3%B0ir_Airport",""
120,"BIHN","medium_airport","Hornafjörður Airport",64.2956,-15.2272,24,"EU","IS","IS-8","Höfn","yes","BIHN","HFN","","","https://en.wikipedia.org/wiki/Hornafj%C3%B6r%C3%B0ur_Airport",""
121,"BIHU","medium_airport","Húsavík Airport",65.9523,-17.426,48,"EU","IS","IS-6","Húsavík","yes","BIHU","HZK","","","https://en.wikipedia.org/wiki/H%C3%BAsav%C3%ADk_Airport",""
122,"BIIS","medium_airport","Ísafjörður Airport",66.0581,-23.1353,8,"EU","IS","IS-4","Ísafjörður","yes","BIIS","IFJ","","","http://en.wikipedia.org/wiki/%C3%8Dsafj%C3%B6r%C3%B0ur_Airport",""
123,"BIKF","large_airport","Keflavik International Airport",63.985,-22.6056,171,"EU","IS","IS-2","Reykjavík","yes","BIKF","KEF","","","http://en.wikipedia.org/wiki/Keflav%C3%ADk_International_Airport","Keflavik Naval Air Station,REK"
125,"BIRK","medium_airport","Reykjavik Airport",64.13,-21.9406,48,"EU","IS","IS-1","Reykjavik","yes","BIRK","RKV","","","http://en.wikipedia.org/wiki/Reykjav%C3%ADk_Airport","REK"
126,"BISI","medium_airport","Siglufjörður Airport",66.1333,-18.9167,10,"EU","IS","IS-6","Siglufjörður","no","BISI","SIJ","","","https://en.wikipedia.org/wiki/Siglufj%C3%B6r%C3%B0ur_Airport",""
128,"BIVM","medium_airport","Vestmannaeyjar Airport",63.4243,-20.2789,326,"EU","IS","IS-8","Vestmannaeyjar","no","BIVM","VEY","","","http://en.wikipedia.org/wiki/Vestmannaeyjar_Airport",""
517,"SSZW","medium_airport","Ponta Grossa Airport - Comandante Antonio Amilton Beraldo",-25.1847,-50.1441,2588,"SA","BR","BR-PR","Ponta Grossa","yes","SSZW","PGZ","SSZW","","https://pt.wikipedia.org/wiki/Aeroporto_de_Ponta_Grossa","Sant'ana Airport"
538,"SWGN","medium_airport","Araguaína Airport",-7.22787,-48.2405,771,"SA","BR","BR-TO","Araguaína","yes","SWGN","AUX","SWGN","","https://en.wikipedia.org/wiki/Aragua%C3%ADna_Airport",""
1652,"CYAC","medium_airport","Cat Lake Airport",51.7272,-91.8244,1344,"NA","CA","CA-ON","Cat Lake","yes","CYAC","YAC","","","http://en.wikipedia.org/wiki/Cat_Lake_Airport",""
